"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.58800000000E+009, -2.99819058193E-002, +0.00000000000E+000
+1.58810000000E+009, -3.37496052492E-002, +0.00000000000E+000
+1.58820000000E+009, -3.05989837831E-002, +0.00000000000E+000
+1.58830000000E+009, -3.17814246389E-002, +0.00000000000E+000
+1.58840000000E+009, -2.89571711795E-002, +0.00000000000E+000
+1.58850000000E+009, -2.85599372181E-002, +0.00000000000E+000
+1.58860000000E+009, -2.62263224955E-002, +0.00000000000E+000
+1.58870000000E+009, -2.69728957326E-002, +0.00000000000E+000
+1.58880000000E+009, -2.25714274267E-002, +0.00000000000E+000
+1.58890000000E+009, -2.38662990811E-002, +0.00000000000E+000
+1.58900000000E+009, -2.37184396115E-002, +0.00000000000E+000
+1.58910000000E+009, -2.29059291184E-002, +0.00000000000E+000
+1.58920000000E+009, -2.37790292629E-002, +0.00000000000E+000
+1.58930000000E+009, -2.41836666460E-002, +0.00000000000E+000
+1.58940000000E+009, -2.13981270110E-002, +0.00000000000E+000
+1.58950000000E+009, -1.91674442927E-002, +0.00000000000E+000
+1.58960000000E+009, -2.07495725963E-002, +0.00000000000E+000
+1.58970000000E+009, -2.23594540106E-002, +0.00000000000E+000
+1.58980000000E+009, -1.70712310075E-002, +0.00000000000E+000
+1.58990000000E+009, -1.87081003909E-002, +0.00000000000E+000
+1.59000000000E+009, -2.13262331736E-002, +0.00000000000E+000
+1.59010000000E+009, -1.79537303348E-002, +0.00000000000E+000
+1.59020000000E+009, -1.72192701718E-002, +0.00000000000E+000
+1.59030000000E+009, -1.67103471184E-002, +0.00000000000E+000
+1.59040000000E+009, -1.90209782260E-002, +0.00000000000E+000
+1.59050000000E+009, -1.65003465868E-002, +0.00000000000E+000
+1.59060000000E+009, -1.78874719558E-002, +0.00000000000E+000
+1.59070000000E+009, -1.67256729208E-002, +0.00000000000E+000
+1.59080000000E+009, -1.79465894137E-002, +0.00000000000E+000
+1.59090000000E+009, -1.78088018711E-002, +0.00000000000E+000
+1.59100000000E+009, -1.67877089708E-002, +0.00000000000E+000
+1.59110000000E+009, -1.70418473759E-002, +0.00000000000E+000
+1.59120000000E+009, -1.36277580568E-002, +0.00000000000E+000
+1.59130000000E+009, -1.91398112792E-002, +0.00000000000E+000
+1.59140000000E+009, -1.60639081196E-002, +0.00000000000E+000
+1.59150000000E+009, -1.51053804032E-002, +0.00000000000E+000
+1.59160000000E+009, -1.49341022342E-002, +0.00000000000E+000
+1.59170000000E+009, -1.51988918740E-002, +0.00000000000E+000
+1.59180000000E+009, -1.79817363463E-002, +0.00000000000E+000
+1.59190000000E+009, -1.67159461998E-002, +0.00000000000E+000
+1.59200000000E+009, -1.84038572458E-002, +0.00000000000E+000
+1.59210000000E+009, -1.81022309542E-002, +0.00000000000E+000
+1.59220000000E+009, -1.84428365779E-002, +0.00000000000E+000
+1.59230000000E+009, -1.83915102501E-002, +0.00000000000E+000
+1.59240000000E+009, -2.07823595346E-002, +0.00000000000E+000
+1.59250000000E+009, -2.29163874323E-002, +0.00000000000E+000
+1.59260000000E+009, -1.64334970728E-002, +0.00000000000E+000
+1.59270000000E+009, -1.92091758261E-002, +0.00000000000E+000
+1.59280000000E+009, -2.05928948580E-002, +0.00000000000E+000
+1.59290000000E+009, -2.38587556303E-002, +0.00000000000E+000
+1.59300000000E+009, -2.31673108946E-002, +0.00000000000E+000
+1.59310000000E+009, -2.17682892539E-002, +0.00000000000E+000
