"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.60800000000E+009, -1.07564320373E+000, +0.00000000000E+000
+1.60810000000E+009, -1.18540243438E+000, +0.00000000000E+000
+1.60820000000E+009, -1.31536301192E+000, +0.00000000000E+000
+1.60830000000E+009, -1.46010073085E+000, +0.00000000000E+000
+1.60840000000E+009, -1.62834705262E+000, +0.00000000000E+000
+1.60850000000E+009, -1.82539865428E+000, +0.00000000000E+000
+1.60860000000E+009, -2.05171702293E+000, +0.00000000000E+000
+1.60870000000E+009, -2.31585351674E+000, +0.00000000000E+000
+1.60880000000E+009, -2.62557319061E+000, +0.00000000000E+000
+1.60890000000E+009, -2.99758978462E+000, +0.00000000000E+000
+1.60900000000E+009, -3.44358419172E+000, +0.00000000000E+000
+1.60910000000E+009, -3.98694508375E+000, +0.00000000000E+000
+1.60920000000E+009, -4.66524517908E+000, +0.00000000000E+000
+1.60930000000E+009, -5.51047542523E+000, +0.00000000000E+000
+1.60940000000E+009, -6.67818109829E+000, +0.00000000000E+000
+1.60950000000E+009, -8.26915879098E+000, +0.00000000000E+000
+1.60960000000E+009, -1.04617403438E+001, +0.00000000000E+000
+1.60970000000E+009, -1.26157850053E+001, +0.00000000000E+000
+1.60980000000E+009, -1.31015203792E+001, +0.00000000000E+000
+1.60990000000E+009, -1.24905414713E+001, +0.00000000000E+000
+1.61000000000E+009, -1.23416868444E+001, +0.00000000000E+000
+1.61010000000E+009, -1.28710193679E+001, +0.00000000000E+000
+1.61020000000E+009, -1.39161253592E+001, +0.00000000000E+000
+1.61030000000E+009, -1.53896207374E+001, +0.00000000000E+000
+1.61040000000E+009, -1.72715494769E+001, +0.00000000000E+000
+1.61050000000E+009, -1.95642993207E+001, +0.00000000000E+000
+1.61060000000E+009, -2.22967188670E+001, +0.00000000000E+000
+1.61070000000E+009, -2.51417122150E+001, +0.00000000000E+000
+1.61080000000E+009, -2.67153726017E+001, +0.00000000000E+000
+1.61090000000E+009, -2.58073435567E+001, +0.00000000000E+000
+1.61100000000E+009, -2.39500935172E+001, +0.00000000000E+000
+1.61110000000E+009, -2.21837445251E+001, +0.00000000000E+000
+1.61120000000E+009, -2.08741880994E+001, +0.00000000000E+000
+1.61130000000E+009, -1.99188379769E+001, +0.00000000000E+000
+1.61140000000E+009, -1.92633482124E+001, +0.00000000000E+000
+1.61150000000E+009, -1.88611078898E+001, +0.00000000000E+000
+1.61160000000E+009, -1.86747782695E+001, +0.00000000000E+000
+1.61170000000E+009, -1.86982210452E+001, +0.00000000000E+000
+1.61180000000E+009, -1.89150629446E+001, +0.00000000000E+000
+1.61190000000E+009, -1.93233440746E+001, +0.00000000000E+000
+1.61200000000E+009, -1.99998847004E+001, +0.00000000000E+000
+1.61210000000E+009, -2.09215312119E+001, +0.00000000000E+000
+1.61220000000E+009, -2.21607725895E+001, +0.00000000000E+000
+1.61230000000E+009, -2.37905360871E+001, +0.00000000000E+000
+1.61240000000E+009, -2.58140110445E+001, +0.00000000000E+000
+1.61250000000E+009, -2.79482376042E+001, +0.00000000000E+000
+1.61260000000E+009, -2.87500497707E+001, +0.00000000000E+000
+1.61270000000E+009, -2.70897789395E+001, +0.00000000000E+000
+1.61280000000E+009, -2.45828287769E+001, +0.00000000000E+000
+1.61290000000E+009, -2.22552929780E+001, +0.00000000000E+000
+1.61300000000E+009, -2.04493283434E+001, +0.00000000000E+000
+1.61310000000E+009, -1.90888703855E+001, +0.00000000000E+000
+1.61320000000E+009, -1.81828260648E+001, +0.00000000000E+000
+1.61330000000E+009, -1.77227244035E+001, +0.00000000000E+000
+1.61340000000E+009, -1.77440855000E+001, +0.00000000000E+000
+1.61350000000E+009, -1.83164495996E+001, +0.00000000000E+000
+1.61360000000E+009, -1.92962780327E+001, +0.00000000000E+000
+1.61370000000E+009, -1.97759685184E+001, +0.00000000000E+000
+1.61380000000E+009, -1.81546881402E+001, +0.00000000000E+000
+1.61390000000E+009, -1.52319042573E+001, +0.00000000000E+000
+1.61400000000E+009, -1.24873782349E+001, +0.00000000000E+000
+1.61410000000E+009, -1.02695990029E+001, +0.00000000000E+000
+1.61420000000E+009, -8.55968538078E+000, +0.00000000000E+000
+1.61430000000E+009, -7.23649433494E+000, +0.00000000000E+000
+1.61440000000E+009, -6.22145104279E+000, +0.00000000000E+000
+1.61450000000E+009, -5.39888203851E+000, +0.00000000000E+000
