"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.58800000000E+009, -1.05979070220E+002, +0.00000000000E+000
+1.58810000000E+009, -1.06039837746E+002, +0.00000000000E+000
+1.58820000000E+009, -1.06136659209E+002, +0.00000000000E+000
+1.58830000000E+009, -1.06182896545E+002, +0.00000000000E+000
+1.58840000000E+009, -1.06265679975E+002, +0.00000000000E+000
+1.58850000000E+009, -1.06347766930E+002, +0.00000000000E+000
+1.58860000000E+009, -1.06431438893E+002, +0.00000000000E+000
+1.58870000000E+009, -1.06510576756E+002, +0.00000000000E+000
+1.58880000000E+009, -1.06611747039E+002, +0.00000000000E+000
+1.58890000000E+009, -1.06657455805E+002, +0.00000000000E+000
+1.58900000000E+009, -1.06786531308E+002, +0.00000000000E+000
+1.58910000000E+009, -1.06810382920E+002, +0.00000000000E+000
+1.58920000000E+009, -1.06940590577E+002, +0.00000000000E+000
+1.58930000000E+009, -1.07023775778E+002, +0.00000000000E+000
+1.58940000000E+009, -1.07121771919E+002, +0.00000000000E+000
+1.58950000000E+009, -1.07168021723E+002, +0.00000000000E+000
+1.58960000000E+009, -1.07251317144E+002, +0.00000000000E+000
+1.58970000000E+009, -1.07324860111E+002, +0.00000000000E+000
+1.58980000000E+009, -1.07420763849E+002, +0.00000000000E+000
+1.58990000000E+009, -1.07529454032E+002, +0.00000000000E+000
+1.59000000000E+009, -1.07601554080E+002, +0.00000000000E+000
+1.59010000000E+009, -1.07692783822E+002, +0.00000000000E+000
+1.59020000000E+009, -1.07792689008E+002, +0.00000000000E+000
+1.59030000000E+009, -1.07853117074E+002, +0.00000000000E+000
+1.59040000000E+009, -1.07964127991E+002, +0.00000000000E+000
+1.59050000000E+009, -1.08059611719E+002, +0.00000000000E+000
+1.59060000000E+009, -1.08134276288E+002, +0.00000000000E+000
+1.59070000000E+009, -1.08206596269E+002, +0.00000000000E+000
+1.59080000000E+009, -1.08344925259E+002, +0.00000000000E+000
+1.59090000000E+009, -1.08434926958E+002, +0.00000000000E+000
+1.59100000000E+009, -1.08506396535E+002, +0.00000000000E+000
+1.59110000000E+009, -1.08620237507E+002, +0.00000000000E+000
+1.59120000000E+009, -1.08697109071E+002, +0.00000000000E+000
+1.59130000000E+009, -1.08778328170E+002, +0.00000000000E+000
+1.59140000000E+009, -1.08852752764E+002, +0.00000000000E+000
+1.59150000000E+009, -1.08955710179E+002, +0.00000000000E+000
+1.59160000000E+009, -1.09087359001E+002, +0.00000000000E+000
+1.59170000000E+009, -1.09157126354E+002, +0.00000000000E+000
+1.59180000000E+009, -1.09257547793E+002, +0.00000000000E+000
+1.59190000000E+009, -1.09345856939E+002, +0.00000000000E+000
+1.59200000000E+009, -1.09446312992E+002, +0.00000000000E+000
+1.59210000000E+009, -1.09531489766E+002, +0.00000000000E+000
+1.59220000000E+009, -1.09620778655E+002, +0.00000000000E+000
+1.59230000000E+009, -1.09749719257E+002, +0.00000000000E+000
+1.59240000000E+009, -1.09823626281E+002, +0.00000000000E+000
+1.59250000000E+009, -1.09920669768E+002, +0.00000000000E+000
+1.59260000000E+009, -1.10043071867E+002, +0.00000000000E+000
+1.59270000000E+009, -1.10127195034E+002, +0.00000000000E+000
+1.59280000000E+009, -1.10234121302E+002, +0.00000000000E+000
+1.59290000000E+009, -1.10317542933E+002, +0.00000000000E+000
+1.59300000000E+009, -1.10424374101E+002, +0.00000000000E+000
+1.59310000000E+009, -1.10537111127E+002, +0.00000000000E+000
+1.59320000000E+009, -1.10617434826E+002, +0.00000000000E+000
+1.59330000000E+009, -1.10739813757E+002, +0.00000000000E+000
+1.59340000000E+009, -1.10811951052E+002, +0.00000000000E+000
+1.59350000000E+009, -1.10939119358E+002, +0.00000000000E+000
+1.59360000000E+009, -1.11035368797E+002, +0.00000000000E+000
+1.59370000000E+009, -1.11132821928E+002, +0.00000000000E+000
+1.59380000000E+009, -1.11266771976E+002, +0.00000000000E+000
+1.59390000000E+009, -1.11360191066E+002, +0.00000000000E+000
+1.59400000000E+009, -1.11475084953E+002, +0.00000000000E+000
+1.59410000000E+009, -1.11570763648E+002, +0.00000000000E+000
+1.59420000000E+009, -1.11673901589E+002, +0.00000000000E+000
+1.59430000000E+009, -1.11789537553E+002, +0.00000000000E+000
+1.59440000000E+009, -1.11903312280E+002, +0.00000000000E+000
+1.59450000000E+009, -1.11997337638E+002, +0.00000000000E+000
+1.59460000000E+009, -1.12113757166E+002, +0.00000000000E+000
+1.59470000000E+009, -1.12214224350E+002, +0.00000000000E+000
+1.59480000000E+009, -1.12330981717E+002, +0.00000000000E+000
+1.59490000000E+009, -1.12461117423E+002, +0.00000000000E+000
+1.59500000000E+009, -1.12562636772E+002, +0.00000000000E+000
+1.59510000000E+009, -1.12672902902E+002, +0.00000000000E+000
+1.59520000000E+009, -1.12799450347E+002, +0.00000000000E+000
+1.59530000000E+009, -1.12908444939E+002, +0.00000000000E+000
+1.59540000000E+009, -1.13052995623E+002, +0.00000000000E+000
+1.59550000000E+009, -1.13142725452E+002, +0.00000000000E+000
+1.59560000000E+009, -1.13270813680E+002, +0.00000000000E+000
+1.59570000000E+009, -1.13372336990E+002, +0.00000000000E+000
+1.59580000000E+009, -1.13497752081E+002, +0.00000000000E+000
+1.59590000000E+009, -1.13634768498E+002, +0.00000000000E+000
+1.59600000000E+009, -1.13779620594E+002, +0.00000000000E+000
+1.59610000000E+009, -1.13882042386E+002, +0.00000000000E+000
+1.59620000000E+009, -1.14014264470E+002, +0.00000000000E+000
+1.59630000000E+009, -1.14139974759E+002, +0.00000000000E+000
+1.59640000000E+009, -1.14271774428E+002, +0.00000000000E+000
+1.59650000000E+009, -1.14407481058E+002, +0.00000000000E+000
+1.59660000000E+009, -1.14505475952E+002, +0.00000000000E+000
+1.59670000000E+009, -1.14640100257E+002, +0.00000000000E+000
+1.59680000000E+009, -1.14802346141E+002, +0.00000000000E+000
+1.59690000000E+009, -1.14928848098E+002, +0.00000000000E+000
+1.59700000000E+009, -1.15055394661E+002, +0.00000000000E+000
+1.59710000000E+009, -1.15168003067E+002, +0.00000000000E+000
+1.59720000000E+009, -1.15348566552E+002, +0.00000000000E+000
+1.59730000000E+009, -1.15481284931E+002, +0.00000000000E+000
+1.59740000000E+009, -1.15617812119E+002, +0.00000000000E+000
+1.59750000000E+009, -1.15739394921E+002, +0.00000000000E+000
+1.59760000000E+009, -1.15897568717E+002, +0.00000000000E+000
+1.59770000000E+009, -1.16047201162E+002, +0.00000000000E+000
+1.59780000000E+009, -1.16195132180E+002, +0.00000000000E+000
+1.59790000000E+009, -1.16365259090E+002, +0.00000000000E+000
+1.59800000000E+009, -1.16500325876E+002, +0.00000000000E+000
+1.59810000000E+009, -1.16659857107E+002, +0.00000000000E+000
+1.59820000000E+009, -1.16800527337E+002, +0.00000000000E+000
+1.59830000000E+009, -1.16963535944E+002, +0.00000000000E+000
+1.59840000000E+009, -1.17127004815E+002, +0.00000000000E+000
+1.59850000000E+009, -1.17300249989E+002, +0.00000000000E+000
+1.59860000000E+009, -1.17446680482E+002, +0.00000000000E+000
+1.59870000000E+009, -1.17586119668E+002, +0.00000000000E+000
+1.59880000000E+009, -1.17759394206E+002, +0.00000000000E+000
+1.59890000000E+009, -1.17952134044E+002, +0.00000000000E+000
+1.59900000000E+009, -1.18127815813E+002, +0.00000000000E+000
+1.59910000000E+009, -1.18296820853E+002, +0.00000000000E+000
+1.59920000000E+009, -1.18500549612E+002, +0.00000000000E+000
+1.59930000000E+009, -1.18661020233E+002, +0.00000000000E+000
+1.59940000000E+009, -1.18832196280E+002, +0.00000000000E+000
+1.59950000000E+009, -1.19021183096E+002, +0.00000000000E+000
+1.59960000000E+009, -1.19181946351E+002, +0.00000000000E+000
+1.59970000000E+009, -1.19391430603E+002, +0.00000000000E+000
+1.59980000000E+009, -1.19567184808E+002, +0.00000000000E+000
+1.59990000000E+009, -1.19778818951E+002, +0.00000000000E+000
+1.60000000000E+009, -1.19988458349E+002, +0.00000000000E+000
+1.60010000000E+009, -1.20161508338E+002, +0.00000000000E+000
+1.60020000000E+009, -1.20377329866E+002, +0.00000000000E+000
+1.60030000000E+009, -1.20586133835E+002, +0.00000000000E+000
+1.60040000000E+009, -1.20794442486E+002, +0.00000000000E+000
+1.60050000000E+009, -1.20988743611E+002, +0.00000000000E+000
+1.60060000000E+009, -1.21178381842E+002, +0.00000000000E+000
+1.60070000000E+009, -1.21427306301E+002, +0.00000000000E+000
+1.60080000000E+009, -1.21642743637E+002, +0.00000000000E+000
+1.60090000000E+009, -1.21854230888E+002, +0.00000000000E+000
+1.60100000000E+009, -1.22101634302E+002, +0.00000000000E+000
+1.60110000000E+009, -1.22300490008E+002, +0.00000000000E+000
+1.60120000000E+009, -1.22558870069E+002, +0.00000000000E+000
+1.60130000000E+009, -1.22814318409E+002, +0.00000000000E+000
+1.60140000000E+009, -1.23036236403E+002, +0.00000000000E+000
+1.60150000000E+009, -1.23276245443E+002, +0.00000000000E+000
+1.60160000000E+009, -1.23531661057E+002, +0.00000000000E+000
+1.60170000000E+009, -1.23782397742E+002, +0.00000000000E+000
+1.60180000000E+009, -1.24061386002E+002, +0.00000000000E+000
+1.60190000000E+009, -1.24330558155E+002, +0.00000000000E+000
+1.60200000000E+009, -1.24623818125E+002, +0.00000000000E+000
+1.60210000000E+009, -1.24863937960E+002, +0.00000000000E+000
+1.60220000000E+009, -1.25174935785E+002, +0.00000000000E+000
+1.60230000000E+009, -1.25446657263E+002, +0.00000000000E+000
+1.60240000000E+009, -1.25757717781E+002, +0.00000000000E+000
+1.60250000000E+009, -1.26018260471E+002, +0.00000000000E+000
+1.60260000000E+009, -1.26327795278E+002, +0.00000000000E+000
+1.60270000000E+009, -1.26643321425E+002, +0.00000000000E+000
+1.60280000000E+009, -1.26991192030E+002, +0.00000000000E+000
+1.60290000000E+009, -1.27296901563E+002, +0.00000000000E+000
+1.60300000000E+009, -1.27620431881E+002, +0.00000000000E+000
+1.60310000000E+009, -1.27963432774E+002, +0.00000000000E+000
+1.60320000000E+009, -1.28314710652E+002, +0.00000000000E+000
+1.60330000000E+009, -1.28654831885E+002, +0.00000000000E+000
+1.60340000000E+009, -1.29029402905E+002, +0.00000000000E+000
+1.60350000000E+009, -1.29389567706E+002, +0.00000000000E+000
+1.60360000000E+009, -1.29787713572E+002, +0.00000000000E+000
+1.60370000000E+009, -1.30146103367E+002, +0.00000000000E+000
+1.60380000000E+009, -1.30577563367E+002, +0.00000000000E+000
+1.60390000000E+009, -1.31002152933E+002, +0.00000000000E+000
+1.60400000000E+009, -1.31416425067E+002, +0.00000000000E+000
+1.60410000000E+009, -1.31820523316E+002, +0.00000000000E+000
+1.60420000000E+009, -1.32269967056E+002, +0.00000000000E+000
+1.60430000000E+009, -1.32731559192E+002, +0.00000000000E+000
+1.60440000000E+009, -1.33208068549E+002, +0.00000000000E+000
+1.60450000000E+009, -1.33673699630E+002, +0.00000000000E+000
+1.60460000000E+009, -1.34174481017E+002, +0.00000000000E+000
+1.60470000000E+009, -1.34648876124E+002, +0.00000000000E+000
+1.60480000000E+009, -1.35237590055E+002, +0.00000000000E+000
+1.60490000000E+009, -1.35743553569E+002, +0.00000000000E+000
+1.60500000000E+009, -1.36315178015E+002, +0.00000000000E+000
+1.60510000000E+009, -1.36876089309E+002, +0.00000000000E+000
+1.60520000000E+009, -1.37469202449E+002, +0.00000000000E+000
+1.60530000000E+009, -1.38125878717E+002, +0.00000000000E+000
+1.60540000000E+009, -1.38742692280E+002, +0.00000000000E+000
+1.60550000000E+009, -1.39367713278E+002, +0.00000000000E+000
+1.60560000000E+009, -1.40075365607E+002, +0.00000000000E+000
+1.60570000000E+009, -1.40795281272E+002, +0.00000000000E+000
+1.60580000000E+009, -1.41484260656E+002, +0.00000000000E+000
+1.60590000000E+009, -1.42279948275E+002, +0.00000000000E+000
+1.60600000000E+009, -1.43089192136E+002, +0.00000000000E+000
+1.60610000000E+009, -1.43901709680E+002, +0.00000000000E+000
+1.60620000000E+009, -1.44757745227E+002, +0.00000000000E+000
+1.60630000000E+009, -1.45636794437E+002, +0.00000000000E+000
+1.60640000000E+009, -1.46561634039E+002, +0.00000000000E+000
+1.60650000000E+009, -1.47532972211E+002, +0.00000000000E+000
+1.60660000000E+009, -1.48568963576E+002, +0.00000000000E+000
+1.60670000000E+009, -1.49622024614E+002, +0.00000000000E+000
+1.60680000000E+009, -1.50710047791E+002, +0.00000000000E+000
+1.60690000000E+009, -1.51907480498E+002, +0.00000000000E+000
+1.60700000000E+009, -1.53127869505E+002, +0.00000000000E+000
+1.60710000000E+009, -1.54372525031E+002, +0.00000000000E+000
+1.60720000000E+009, -1.55741843454E+002, +0.00000000000E+000
+1.60730000000E+009, -1.57137596539E+002, +0.00000000000E+000
+1.60740000000E+009, -1.58651472700E+002, +0.00000000000E+000
+1.60750000000E+009, -1.60216561506E+002, +0.00000000000E+000
+1.60760000000E+009, -1.61906979504E+002, +0.00000000000E+000
+1.60770000000E+009, -1.63659532489E+002, +0.00000000000E+000
+1.60780000000E+009, -1.65504677604E+002, +0.00000000000E+000
+1.60790000000E+009, -1.67567982501E+002, +0.00000000000E+000
+1.60800000000E+009, -1.69590645769E+002, +0.00000000000E+000
+1.60810000000E+009, -1.71915956347E+002, +0.00000000000E+000
+1.60820000000E+009, -1.74276837215E+002, +0.00000000000E+000
+1.60830000000E+009, -1.76813488250E+002, +0.00000000000E+000
+1.60840000000E+009, -1.79519959360E+002, +0.00000000000E+000
+1.60850000000E+009, +1.77526207369E+002, +0.00000000000E+000
+1.60860000000E+009, +1.74411746370E+002, +0.00000000000E+000
+1.60870000000E+009, +1.71015655378E+002, +0.00000000000E+000
+1.60880000000E+009, +1.67428587775E+002, +0.00000000000E+000
+1.60890000000E+009, +1.63578768841E+002, +0.00000000000E+000
+1.60900000000E+009, +1.59321986335E+002, +0.00000000000E+000
+1.60910000000E+009, +1.54765390185E+002, +0.00000000000E+000
+1.60920000000E+009, +1.49972667383E+002, +0.00000000000E+000
+1.60930000000E+009, +1.45013750310E+002, +0.00000000000E+000
+1.60940000000E+009, +1.40219357143E+002, +0.00000000000E+000
+1.60950000000E+009, +1.37213115042E+002, +0.00000000000E+000
+1.60960000000E+009, +1.39718739648E+002, +0.00000000000E+000
+1.60970000000E+009, +1.51541322716E+002, +0.00000000000E+000
+1.60980000000E+009, +1.61807239529E+002, +0.00000000000E+000
+1.60990000000E+009, +1.62120684945E+002, +0.00000000000E+000
+1.61000000000E+009, +1.57787390780E+002, +0.00000000000E+000
+1.61010000000E+009, +1.52604222526E+002, +0.00000000000E+000
+1.61020000000E+009, +1.48191640623E+002, +0.00000000000E+000
+1.61030000000E+009, +1.45091010055E+002, +0.00000000000E+000
+1.61040000000E+009, +1.43873684271E+002, +0.00000000000E+000
+1.61050000000E+009, +1.45606399182E+002, +0.00000000000E+000
+1.61060000000E+009, +1.52325960169E+002, +0.00000000000E+000
+1.61070000000E+009, +1.68469733278E+002, +0.00000000000E+000
+1.61080000000E+009, -1.64848130122E+002, +0.00000000000E+000
+1.61090000000E+009, -1.40213593973E+002, +0.00000000000E+000
+1.61100000000E+009, -1.26909993843E+002, +0.00000000000E+000
+1.61110000000E+009, -1.20862721029E+002, +0.00000000000E+000
+1.61120000000E+009, -1.18301379443E+002, +0.00000000000E+000
+1.61130000000E+009, -1.17834885587E+002, +0.00000000000E+000
+1.61140000000E+009, -1.18290935559E+002, +0.00000000000E+000
+1.61150000000E+009, -1.19339124902E+002, +0.00000000000E+000
+1.61160000000E+009, -1.20815278412E+002, +0.00000000000E+000
+1.61170000000E+009, -1.22295671560E+002, +0.00000000000E+000
+1.61180000000E+009, -1.23691633070E+002, +0.00000000000E+000
+1.61190000000E+009, -1.24967208229E+002, +0.00000000000E+000
+1.61200000000E+009, -1.25648000988E+002, +0.00000000000E+000
+1.61210000000E+009, -1.25484981602E+002, +0.00000000000E+000
+1.61220000000E+009, -1.23735126325E+002, +0.00000000000E+000
+1.61230000000E+009, -1.19361456556E+002, +0.00000000000E+000
+1.61240000000E+009, -1.08558777226E+002, +0.00000000000E+000
+1.61250000000E+009, -8.78783875932E+001, +0.00000000000E+000
+1.61260000000E+009, -5.98319990331E+001, +0.00000000000E+000
+1.61270000000E+009, -3.95608901134E+001, +0.00000000000E+000
+1.61280000000E+009, -3.01452544296E+001, +0.00000000000E+000
+1.61290000000E+009, -2.67488270693E+001, +0.00000000000E+000
+1.61300000000E+009, -2.64015323884E+001, +0.00000000000E+000
+1.61310000000E+009, -2.78795260645E+001, +0.00000000000E+000
+1.61320000000E+009, -3.00339903497E+001, +0.00000000000E+000
+1.61330000000E+009, -3.23765963306E+001, +0.00000000000E+000
+1.61340000000E+009, -3.37886874888E+001, +0.00000000000E+000
+1.61350000000E+009, -3.19704829273E+001, +0.00000000000E+000
+1.61360000000E+009, -2.35366647273E+001, +0.00000000000E+000
+1.61370000000E+009, -5.26721575305E+000, +0.00000000000E+000
+1.61380000000E+009, +1.34779712941E+001, +0.00000000000E+000
+1.61390000000E+009, +2.19602408924E+001, +0.00000000000E+000
+1.61400000000E+009, +2.24186185705E+001, +0.00000000000E+000
+1.61410000000E+009, +1.90376193600E+001, +0.00000000000E+000
+1.61420000000E+009, +1.41272875653E+001, +0.00000000000E+000
+1.61430000000E+009, +8.66125849713E+000, +0.00000000000E+000
+1.61440000000E+009, +3.36533692559E+000, +0.00000000000E+000
+1.61450000000E+009, -1.76019427151E+000, +0.00000000000E+000
+1.61460000000E+009, -6.52983904057E+000, +0.00000000000E+000
+1.61470000000E+009, -1.09402463409E+001, +0.00000000000E+000
+1.61480000000E+009, -1.49478186192E+001, +0.00000000000E+000
+1.61490000000E+009, -1.87388412449E+001, +0.00000000000E+000
+1.61500000000E+009, -2.21928972034E+001, +0.00000000000E+000
+1.61510000000E+009, -2.53770557224E+001, +0.00000000000E+000
+1.61520000000E+009, -2.83175166389E+001, +0.00000000000E+000
+1.61530000000E+009, -3.11238155749E+001, +0.00000000000E+000
+1.61540000000E+009, -3.37123348318E+001, +0.00000000000E+000
+1.61550000000E+009, -3.60671181772E+001, +0.00000000000E+000
+1.61560000000E+009, -3.83563312187E+001, +0.00000000000E+000
+1.61570000000E+009, -4.04937750754E+001, +0.00000000000E+000
+1.61580000000E+009, -4.24591225907E+001, +0.00000000000E+000
+1.61590000000E+009, -4.43499769029E+001, +0.00000000000E+000
+1.61600000000E+009, -4.61262463263E+001, +0.00000000000E+000
+1.61610000000E+009, -4.78162787412E+001, +0.00000000000E+000
+1.61620000000E+009, -4.93979394097E+001, +0.00000000000E+000
+1.61630000000E+009, -5.09208371352E+001, +0.00000000000E+000
+1.61640000000E+009, -5.23191559712E+001, +0.00000000000E+000
+1.61650000000E+009, -5.36883983764E+001, +0.00000000000E+000
+1.61660000000E+009, -5.49735222646E+001, +0.00000000000E+000
+1.61670000000E+009, -5.61840304679E+001, +0.00000000000E+000
+1.61680000000E+009, -5.74008949915E+001, +0.00000000000E+000
+1.61690000000E+009, -5.85367190963E+001, +0.00000000000E+000
+1.61700000000E+009, -5.95635721780E+001, +0.00000000000E+000
+1.61710000000E+009, -6.06210132544E+001, +0.00000000000E+000
+1.61720000000E+009, -6.15964618109E+001, +0.00000000000E+000
+1.61730000000E+009, -6.25318732745E+001, +0.00000000000E+000
+1.61740000000E+009, -6.34197993092E+001, +0.00000000000E+000
+1.61750000000E+009, -6.42889519984E+001, +0.00000000000E+000
