"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.60800000000E+009, -1.69225116522E+002, +0.00000000000E+000
+1.60810000000E+009, -1.71460447997E+002, +0.00000000000E+000
+1.60820000000E+009, -1.73782659547E+002, +0.00000000000E+000
+1.60830000000E+009, -1.76285797114E+002, +0.00000000000E+000
+1.60840000000E+009, -1.78944684998E+002, +0.00000000000E+000
+1.60850000000E+009, +1.78133499816E+002, +0.00000000000E+000
+1.60860000000E+009, +1.75116601313E+002, +0.00000000000E+000
+1.60870000000E+009, +1.71853708043E+002, +0.00000000000E+000
+1.60880000000E+009, +1.68280313119E+002, +0.00000000000E+000
+1.60890000000E+009, +1.64421757832E+002, +0.00000000000E+000
+1.60900000000E+009, +1.60314551357E+002, +0.00000000000E+000
+1.60910000000E+009, +1.55878777574E+002, +0.00000000000E+000
+1.60920000000E+009, +1.51059289993E+002, +0.00000000000E+000
+1.60930000000E+009, +1.45828001570E+002, +0.00000000000E+000
+1.60940000000E+009, +1.40554815571E+002, +0.00000000000E+000
+1.60950000000E+009, +1.36112409883E+002, +0.00000000000E+000
+1.60960000000E+009, +1.35171222821E+002, +0.00000000000E+000
+1.60970000000E+009, +1.43080339055E+002, +0.00000000000E+000
+1.60980000000E+009, +1.55920094384E+002, +0.00000000000E+000
+1.60990000000E+009, +1.60162655870E+002, +0.00000000000E+000
+1.61000000000E+009, +1.57445806219E+002, +0.00000000000E+000
+1.61010000000E+009, +1.52856674356E+002, +0.00000000000E+000
+1.61020000000E+009, +1.48558110239E+002, +0.00000000000E+000
+1.61030000000E+009, +1.45487746914E+002, +0.00000000000E+000
+1.61040000000E+009, +1.44116505096E+002, +0.00000000000E+000
+1.61050000000E+009, +1.45535470175E+002, +0.00000000000E+000
+1.61060000000E+009, +1.51677951704E+002, +0.00000000000E+000
+1.61070000000E+009, +1.66782900464E+002, +0.00000000000E+000
+1.61080000000E+009, -1.66562540521E+002, +0.00000000000E+000
+1.61090000000E+009, -1.41346930438E+002, +0.00000000000E+000
+1.61100000000E+009, -1.27083451444E+002, +0.00000000000E+000
+1.61110000000E+009, -1.20470786229E+002, +0.00000000000E+000
+1.61120000000E+009, -1.17857259013E+002, +0.00000000000E+000
